building_index,feature_id,name,address,function,height,year_of_construction,opening_embodied_emissions_kgco2e,envelope_embodied_emissions_kgco2e,component_embodied_emissions_kgco2e,opening_end_of_life_emissions_kgco2e,envelope_end_of_life_emissions_kgco2e,component_end_of_life_emissions_kgco2e,total_embodied_emissions_kgco2e,total_end_of_life_emissions_kgco2e,total_lca_emissions_kgco2e
1,100000,01109565,rue Knox  (MTL) 2469,1000,12.0,1989,17813.124170306117,341257.0677371394,359070.19190744555,57294.2119721416,6910.991577008091,64205.20354914969,359070.19190744555,64205.20354914969,423275.39545659523
2,100001,02063607,rue De Rouville  (MTL) 3257 Ã  3265,1000,12.0,1885,19190.35003403877,1392428.8324432406,1411619.1824772793,68594.2297882553,28972.49870029467,97566.72848854997,1411619.1824772793,97566.72848854997,1509185.9109658294
3,100002,05287623,8e Avenue  (PAT) 830,1000,5.0,2021,5865.200885026998,116998.68847212197,122863.88935714896,16586.779951332304,2404.731103574157,18991.511054906463,122863.88935714896,18991.511054906463,141855.40041205543
4,100003,04011399,rue de Dieppe  (PFD) 43,1000,7.0,1964,7706.431059541363,621133.6582572978,628840.0893168392,24786.999206466033,13005.682156284853,37792.68136275088,628840.0893168392,37792.68136275088,666632.7706795901
5,100004,02054834,avenue Pierre-De Coubertin  (MTE+MTL) 9715 Ã  9717,1000,9.0,1961,9141.96268895043,678349.2112017963,687491.1738907468,29404.249537274438,14127.574724340195,43531.82426161463,687491.1738907468,43531.82426161463,731022.9981523614
6,100005,05191263,rue du Square-Saint-Louis  (MTL) 371,1000,16.0,1900,18220.740719639085,1257415.437635934,1275636.178355573,65128.44599594336,26067.640048787514,91196.08604473088,1275636.178355573,91196.08604473088,1366832.2644003038
7,100006,01042676,rue du Square-Saint-Louis  (MTL) 361 Ã  367,1000,15.0,1885,27292.241306881355,1897123.3010196465,1924415.5423265279,97553.73238737823,39328.61985616186,136882.35224354008,1924415.5423265279,136882.35224354008,2061297.894570068
8,100007,05056901,14e Avenue  (LCH) 779,1000,6.0,1936,2709.0982587003227,189200.69692438352,191909.79518308383,9683.43506745005,3924.000496254637,13607.435563704687,191909.79518308383,13607.435563704687,205517.23074678853
9,100008,05057204,11e Avenue  (LCH) 797 Ã  799,1000,8.0,1951,8502.78343078434,647911.3815214363,656414.1649522206,27348.390522570506,13517.495701344757,40865.886223915266,656414.1649522206,40865.886223915266,697280.0511761359
10,100009,01011683,avenue Victoria  (MTL+WMT) 463 Ã  465,1000,12.0,1923,6676.6028893758,442482.1896556443,449158.7925450201,23864.93378111603,9144.596944207784,33009.53072532381,449158.7925450201,33009.53072532381,482168.32327034394
11,100010,01011689,avenue Victoria  (MTL+WMT) 445 Ã  447,1000,10.0,1924,5563.615599302633,375762.65277510835,381326.268374411,19886.657939806682,7776.4637736861,27663.121713492783,381326.268374411,27663.121713492783,408989.39008790377
12,100011,01046736,rue Lesage  (VRD) 4021 Ã  4023,1000,9.0,1907,8350.672519655709,608692.4509150634,617043.123434719,29848.74943311185,12663.452441496505,42512.201874608356,617043.123434719,42512.201874608356,659555.3253093275
